Name                         Score      Rank   T.Score    T.Rank
modargo                     43.321       634      1041       406
medar                       43.103       635      1579       259
kaostheory                  42.959       636       517       705
tiamon                      42.924       637       413       815
donkeybrains                42.842       638       776       552
westonodom                  42.705       639       320       978
gobbopathe                  42.667       640      1090       392
kewadin                     42.521       641       195      1276
wojtek                      42.495       642       687       607
congressman                 42.418       643       348       921
sorlin                      42.376       644      1196       353
snicker                     42.315       645       446       773
captainahab                 42.281       646      1001       424
mole0619                    42.273       647       400       831
cervance                    42.213       648       869       494
doomlord                    42.208       649       514       711
theswoord                   42.183       650       893       478
ddaybell                    42.176       651       879       487
moogleknight                42.063       652       776       552
weresquid                   42.017       653       210      1228
skilld14                    41.912       654       897       476
ogaz                        41.841       655       180      1326
wesley                      41.567       656       488       732
sillywilly                  41.554       657       378       864
ripsaw                      41.546       658       419       805
kloppie                     41.516       659       633       641
shazbot                     41.418       660       530       696
nich                        41.290       661       648       632
jackthecabe                 41.224       662       419       805
xzanthius                   41.152       663       343       931
virusyak                    40.879       664       411       818
duffy                       40.786       665       816       524
jurrb                       40.596       666       469       757
firecrotchwizard            40.525       667       892       479
piemaster                   40.422       668       326       963
autgah                      40.366       669       819       522
biblin                      40.341       670      1037       409
lythelia                    40.116       671       851       505
moohaus                     39.976       672       369       885
oldriver                    39.957       673       289      1041
quirkyturtle                39.781       674       900       475
killgood                    39.624       675       598       660
becksghost                  39.476       676       310       999
antmann                     39.233       677       364       899
inus                        39.222       678       711       594
tizzy                       38.917       679       478       748
northaanb                   38.811       680       105      1631
goblin1989                  38.772       681       409       820
sportzer                    38.759       682       907       468
caerwyn                     38.676       683       279      1066
damdam                      38.671       684       759       566
mluneth                     38.647       685       503       719
feelmyfire                  38.572       686       599       658
psywombats                  38.552       687       932       458
sirvonse                    38.524       688       414       814
moonpresence                38.501       689       957       451
loralnil                    38.451       690       622       648
petermcneter                38.440       691       729       579
jerkstore                   38.433       692       390       850
popetastic                  38.150       693       799       533
whatislove                  38.134       694       445       777
grerr                       38.114       695      1014       419
astrosnowman                38.064       696       503       719
buffagor                    37.859       697       500       725
hnrs                        37.689       698       441       781
mgcat                       37.570       699       960       450
heyyeyaae                   37.544       700       867       495
esqueletor                  37.536       701       289      1041
downpour                    37.372       702       725       581
agentchuck                  37.318       703       948       453
calmdownmonkey              37.019       704      1161       364
jynri                       36.835       705       844       509
zednom                      36.700       706       596       662
rikonman                    36.684       707      1526       270
atomicknyte                 36.566       708       836       512
xombae                      36.469       709       717       589
eli                         36.441       710       500       725
rucks                       36.395       711       441       781
irina                       36.389       712       563       680
golfball                    36.240       713       530       696
libidonplus                 36.238       714       744       570
blobbo                      36.190       715       666       621
ddubois                     36.100       716       663       625
lavumi                      35.978       717       378       864
clownbabyjr                 35.734       718       195      1276
dildobatman                 35.572       719       400       831
yxhuvud                     35.460       720       368       886
nichipe                     35.457       721       395       842
sleevener                   35.448       722       210      1228
floatboth                   35.441       723       443       779
wizard9341                  35.248       724       343       931
minsecho                    35.246       725       348       921
benitares                   35.237       726       661       626
funslinger                  35.159       727       205      1244
moanerette                  35.158       728       338       940
timinator                   35.116       729       245      1135
doughies                    34.974       730       324       966
dantedominus                34.825       731       508       714
umulmuul                    34.688       732       205      1244
qupu                        34.654       733       230      1175
senkrad                     34.652       734       353       909
talenramel                  34.648       735       265      1091
neil                        34.585       736       713       592
notpeanut                   34.549       737       919       465
quirk                       34.484       738       431       791
supermoro                   34.239       739       427       794
tysteely                    33.986       740       456       766
foxor                       33.939       741       882       483
rem                         33.939       741       882       483
thesubatomic                33.932       743       290      1039
bammboo                     33.871       744       165      1376
devnull                     33.852       745       665       623
stabbytabby                 33.840       746       720       583
akrius                      33.820       747       436       788
mirvelgyr                   33.770       748       647       633
lastplaneout                33.716       749       235      1158
holiday                     33.664       750       240      1147
tuffenuff                   33.207       751       289      1041
sonofmahnush                33.200       752      1155       368
ggurman                     33.172       753       916       466
sysice                      33.039       754      1154       369
dante                       33.015       755       415       812
leonard                     32.973       756       401       829
sour                        32.971       757       399       834
roushey                     32.906       758       274      1077
mrwiggles77                 32.711       759       836       512
tsouns                      32.614       760       393       846
peterlawrence               32.556       761       470       756
jojo                        32.540       762       466       759
kayla                       32.539       763       318       983
celesta                     32.377       764       205      1244
zetuh                       32.373       765       264      1094
albenzo                     32.364       766       408       821
softman25                   32.208       767       828       517
canofbees                   32.201       768       534       694
burgietje                   32.122       769       348       921
dobroeutro                  32.122       769       314       990
grn94                       32.122       769       299      1017
akransas                    32.069       772       320       978
fino                        32.068       773       194      1288
nokimchi                    31.934       774       306      1012
nuthulu                     31.822       775       348       921
dplusplus                   31.696       776       343       931
necrophagist                31.696       776       362       902
apoch                       31.660       778       597       661
aolhelm                     31.630       779       674       614
gorgoleon                   31.465       780       530       696
themacoje                   31.396       781      1021       416
ymberto                     31.353       782       230      1175
celestalon                  31.330       783       680       611
snord                       31.330       783       719       584
killroy                     31.319       785       386       856
moloch                      31.204       786       371       883
mortelune                   31.100       787       353       909
nikopol                     31.071       788       987       431
tolb                        31.052       789       455       767
korthal                     31.012       790       916       466
xorpalm                     30.968       791       319       981
lucherd                     30.908       792       484       740
deemzul                     30.886       793       375       873
swap                        30.875       794      1182       359
bughunter                   30.856       795       160      1396
potronius                   30.725       796       323       969
cada                        30.704       797       368       886
juanflamingo                30.704       797       270      1083
geomje                      30.704       799       258      1107
stanislov                   30.693       800       970       445
isvaffelmax                 30.690       801       818       523
dylgear                     30.602       802       380       860
inchmeat                    30.504       803       295      1026
anaz                        30.492       804       416       810
salmacis                    30.292       805       766       561
puppy                       30.284       806       611       654
gruesome                    30.273       807       421       799
morosan                     30.240       808       483       741
mekire                      30.202       809       925       462
ventricule                  30.076       810       257      1111
sargx                       30.075       811       165      1376
rjs                         30.055       812       323       969
lakren                      29.972       813       243      1143
tilp                        29.952       814       735       574
gargoyl                     29.951       815       175      1348
sirfunk                     29.937       816      1330       323
tarrenn                     29.883       817       973       443
sharpcheddar                29.876       818       373       876
appiemonkey                 29.833       819       420       803
admiralandromeda            29.822       820       564       679
shandreya                   29.770       821       367       891
rapturedweasel              29.736       822       318       983
richr                       29.677       823      1005       422
treasuregoblin              29.525       824       633       641
fww                         29.487       825       677       612
jeffidafish                 29.369       826       539       691
kingbuddyboy                29.320       827       290      1039
momplestiltskin             29.239       828       459       762
halgar                      29.189       829       260      1098
kickasso                    29.187       830       408       821
nel                         29.187       830       328       959
gandalfino                  29.139       832       367       891
commandertso                29.139       833       337       941
bmj180                      29.123       834       770       559
feihao                      29.123       834       848       507
taharka                     29.123       834       795       537
